surface,scenario,replicate,method,tolerance,stage,source_id,n,treated_mean,control_mean,effect,noise_sd,target_batch
linear,bridgeable,2,target_only,0.3,1,10,96,-0.0174318232045071,0.0181196738890916,-0.0355514970935987,0.102062072615966,1
linear,bridgeable,3,r2_nearest,0.2,1,5,96,-0.0590854762063033,0.0771136558168806,-0.136199132023184,0.102062072615966,
linear,bridgeable,3,r2_nearest,0.2,2,4,96,-0.20053513153424,0.0611929370548778,-0.261728068589117,0.102062072615966,
linear,bridgeable,3,r2_nearest,0.2,3,6,96,0.183283276716748,-0.0465575397066563,0.229840816423405,0.102062072615966,
linear,bridgeable,3,r2_nearest,0.3,1,5,96,-0.0590854762063033,0.0771136558168806,-0.136199132023184,0.102062072615966,
linear,bridgeable,3,r2_nearest,0.3,2,4,96,-0.20053513153424,0.0611929370548778,-0.261728068589117,0.102062072615966,
linear,bridgeable,3,r2_nearest,0.3,3,6,96,0.183283276716748,-0.0465575397066563,0.229840816423405,0.102062072615966,
linear,bridgeable,3,r2_random,0.2,1,7,96,0.307041914226889,0.0586482284297756,0.248393685797113,0.102062072615966,
linear,bridgeable,3,r2_random,0.2,2,4,96,-0.20053513153424,0.0611929370548778,-0.261728068589117,0.102062072615966,
linear,bridgeable,3,r2_random,0.2,3,5,96,-0.0590854762063033,0.0771136558168806,-0.136199132023184,0.102062072615966,
linear,bridgeable,3,r2_random,0.3,1,7,96,0.307041914226889,0.0586482284297756,0.248393685797113,0.102062072615966,
linear,bridgeable,3,r2_targeted,0.2,1,9,96,0.703878879168898,-0.0903885672129296,0.794267446381827,0.102062072615966,
linear,bridgeable,3,r2_targeted,0.3,1,9,96,0.703878879168898,-0.0903885672129296,0.794267446381827,0.102062072615966,
linear,bridgeable,3,rinf_targeted,0.2,1,9,96,0.703878879168898,-0.0903885672129296,0.794267446381827,0.102062072615966,
linear,bridgeable,3,rinf_targeted,0.2,2,4,96,-0.20053513153424,0.0611929370548778,-0.261728068589117,0.102062072615966,
linear,bridgeable,3,rinf_targeted,0.2,3,5,96,-0.0590854762063033,0.0771136558168806,-0.136199132023184,0.102062072615966,
linear,bridgeable,3,rinf_targeted,0.3,1,9,96,0.703878879168898,-0.0903885672129296,0.794267446381827,0.102062072615966,
linear,bridgeable,3,target_only,0.2,1,10,96,-0.121911664968548,0.0751130759109985,-0.197024740879547,0.102062072615966,1
linear,bridgeable,3,target_only,0.2,2,10,96,0.0185125442250461,0.141104680375552,-0.122592136150506,0.102062072615966,2
linear,bridgeable,3,target_only,0.2,3,10,96,0.0747606267175944,0.00595702627021263,0.0688036004473817,0.102062072615966,3
linear,bridgeable,3,target_only,0.3,1,10,96,-0.121911664968548,0.0751130759109985,-0.197024740879547,0.102062072615966,1
linear,bridgeable,4,r2_nearest,0.2,1,5,96,-0.0730805600501501,0.0108883519615126,-0.0839689120116627,0.102062072615966,
linear,bridgeable,4,r2_nearest,0.2,2,4,96,-0.3379849793761,-0.101426947945321,-0.236558031430779,0.102062072615966,
linear,bridgeable,4,r2_nearest,0.2,3,6,96,0.203485824813776,0.0859905816465047,0.117495243167271,0.102062072615966,
linear,bridgeable,4,r2_nearest,0.3,1,5,96,-0.0730805600501501,0.0108883519615126,-0.0839689120116627,0.102062072615966,
linear,bridgeable,4,r2_nearest,0.3,2,4,96,-0.3379849793761,-0.101426947945321,-0.236558031430779,0.102062072615966,
